K02X10G    18.00    0.15     1.22  0.075  -1.20   0  12   0  1.86032  1.50462  31.87454  55225.9495
  32897    14.00    0.15     5.04  0.175   0.90   0  13  11  2.98707  2.75064  19.20764  55226.0773
K10BB7N    16.20    0.15     2.83  0.073  -1.20   0   7   0  2.74028  2.48757  21.01459  55226.0777
  b6811    16.70    0.15     1.41  0.187  -1.20   0  12   0  1.82679  1.54804  32.62943  55226.1754
  R8462    16.00    0.15     2.46  0.117  -1.20   0   3   0  2.49408  2.29537  23.26009  55226.1820
  O7029    17.00    0.15     1.13  0.218  -1.20   0   7   0  1.85002  1.49247  32.07141  55226.2168
  M7124    17.00    0.15     2.01  0.069  -1.20   0  13   0  2.10498  1.78433  27.81557  55226.4786
  A0006    15.80    0.15     1.68  0.301  -1.20   0  15   0  1.76635  1.39191  33.78910  55226.8765
  40324    16.60    0.15     2.96  0.046   1.23   0  12   9  2.12873  1.81029  27.47866  55227.0077
K09U00P    18.20    0.15     1.41  0.046  -1.20   0  14   0  1.89589  1.54460  31.20821  55227.0079
K09S99T    17.90    0.15     0.80  0.192  -1.20   0   6   0  1.52974  1.10855  39.99691  55227.0810
  74558    15.80    0.15     1.94  0.225  -1.20   0   8   0  2.20792  1.90020  26.41888  55227.2714
  39741    15.70    0.15     1.97  0.239  -1.20   0  14   0  1.87553  1.51928  31.58316  55227.2720
K07Y55G    19.20    0.15     0.99  0.037  -1.20   0  15   0  1.58353  1.16543  38.34379  55227.4028
K10BC6Z    17.90    0.15     1.44  0.059  -1.20   0  13   0  1.81281  1.44548  32.81077  55227.4034
K10BC8S    16.00    0.15     3.00  0.078  -1.20   0   8   0  2.58568  2.31827  22.33549  55227.5348
K10BC8U    17.50    0.15     2.63  0.026  -1.20   0   9   0  2.49054  2.30087  23.29938  55227.6330
  X7607    16.90    0.15     2.67  0.043  -1.20   0  13   0  2.31936  2.11359  25.13424  55227.6347
  01474    12.66    0.15    15.46  0.064   0.83   0   9   9  3.88503  3.77127  14.68821  55227.6412
  a5224    16.20    0.15     1.73  0.195  -1.20   0   5   0  2.21371  1.91230  26.35941  55227.6646
  V0024    15.80    0.15     3.93  0.055   1.08   0  23  23  1.83566  1.47802  32.37167  55227.6743
K10BC7Q    18.80    0.15     1.15  0.040  -1.20   0   1   0  1.78264  1.49896  33.54721  55228.1667
K10CN2X    17.80    0.15     1.21  0.092  -1.20   0   7   0  1.85365  1.49052  31.99270  55228.1978
  62730    15.10    0.15     2.50  0.257  -1.20   0   5   0  2.42755  2.23411  23.94269  55228.4289
K10CN4D    17.10    0.15     1.67  0.091  -1.20   0   9   0  2.18387  1.87674  26.74442  55228.4591
K10CN4W    16.50    0.15     2.52  0.070  -1.20   0  10   0  2.48753  2.29968  23.33202  55228.5612
  98129    14.30    0.15     4.37  0.177  -1.20   0   6   0  3.03085  2.88353  18.96861  55228.8295
  i3842    16.90    0.15     1.20  0.212  -1.20   0   5   0  1.75716  1.47321  34.10285  55228.9600
K05E92Z    17.30    0.15     1.98  0.054   1.28   0  19  15  1.50615  1.06118  40.70874  55228.9940
  c1783    17.20    0.15     1.25  0.149  -1.20   0  14   0  1.81952  1.45229  32.68147  55229.1254
  82059    15.80    0.15     2.00  0.212  -1.20   0   7   0  2.27431  2.06673  25.67222  55229.2185
  28565    15.00    0.15     2.79  0.228  -1.20   0   3   0  2.49393  2.30838  23.26900  55229.2244
