
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-pluto-small-moons
> node site/test/dom-cleanliness-browser.mjs

PASS castalia DPR 2: 71337 nodes; retained interaction
PASS asteroid-1998-wt24 DPR 2: 71337 nodes; retained interaction
PASS asteroid-1994-cc DPR 2: 71337 nodes; retained interaction
PASS fides DPR 2: 71313 nodes; retained interaction
PASS penelope DPR 2: 71313 nodes; retained interaction
PASS alphonsina DPR 2: 71313 nodes; retained interaction
PASS angelina DPR 2: 71313 nodes; retained interaction
PASS ganymed DPR 2: 71373 nodes; retained interaction
PASS moshup DPR 2: 71313 nodes; retained interaction
PASS cybele DPR 2: 71365 nodes; retained interaction
PASS aurora DPR 2: 71345 nodes; retained interaction
PASS palma DPR 2: 71313 nodes; retained interaction
PASS thule DPR 2: 71313 nodes; retained interaction
PASS hektor DPR 2: 71313 nodes; retained interaction
PASS hekate DPR 2: 71313 nodes; retained interaction
PASS phaethon DPR 2: 71313 nodes; retained interaction
PASS harmonia DPR 2: 71349 nodes; retained interaction
PASS panopaea DPR 2: 71313 nodes; retained interaction
PASS desdemona-666 DPR 2: 71313 nodes; retained interaction
PASS asteroid-1950-da DPR 2: 71357 nodes; retained interaction
PASS apophis DPR 2: 71329 nodes; retained interaction
PASS donaldjohanson DPR 2: 71313 nodes; retained interaction
PASS geographos DPR 2: 71325 nodes; retained interaction
PASS bacchus DPR 2: 71037 nodes; retained interaction
PASS mithra DPR 2: 71325 nodes; retained interaction
PASS nereus DPR 2: 71341 nodes; retained interaction
PASS golevka DPR 2: 71313 nodes; retained interaction
PASS yorp DPR 2: 71093 nodes; retained interaction
PASS asteroid-1996-hw1 DPR 2: 71329 nodes; retained interaction
PASS asteroid-2008-ev5 DPR 2: 71325 nodes; retained interaction
PASS ra-shalom DPR 2: 71321 nodes; retained interaction
PASS asteroid-1992-sk DPR 2: 71333 nodes; retained interaction
PASS asteroid-1998-ml14 DPR 2: 71325 nodes; retained interaction
PASS asteroid-2002-ce26 DPR 2: 71345 nodes; retained interaction
PASS dike DPR 2: 71313 nodes; retained interaction
PASS massalia DPR 2: 71313 nodes; retained interaction
PASS proserpina DPR 2: 71313 nodes; retained interaction
PASS polyhymnia DPR 2: 71313 nodes; retained interaction
PASS leukothea DPR 2: 71313 nodes; retained interaction
PASS virginia DPR 2: 71313 nodes; retained interaction
PASS echo DPR 2: 71313 nodes; retained interaction
PASS maja DPR 2: 71313 nodes; retained interaction
PASS juewa DPR 2: 71313 nodes; retained interaction
PASS bertha DPR 2: 71313 nodes; retained interaction
PASS lucia DPR 2: 71313 nodes; retained interaction
PASS brucia DPR 2: 71313 nodes; retained interaction
PASS badenia DPR 2: 71313 nodes; retained interaction
PASS ducrosa DPR 2: 71313 nodes; retained interaction
PASS gyptis DPR 2: 71313 nodes; retained interaction
PASS petrina DPR 2: 71313 nodes; retained interaction
PASS veritas DPR 2: 71313 nodes; retained interaction
PASS gryphia DPR 2: 71313 nodes; retained interaction
PASS selinur DPR 2: 71313 nodes; retained interaction
PASS achilles DPR 2: 71313 nodes; retained interaction
PASS musa DPR 2: 71313 nodes; retained interaction
PASS auravictrix DPR 2: 71313 nodes; retained interaction
PASS transvaalia DPR 2: 71313 nodes; retained interaction
PASS moskva DPR 2: 71313 nodes; retained interaction
PASS kressmannia DPR 2: 71313 nodes; retained interaction
PASS parysatis DPR 2: 71313 nodes; retained interaction
PASS rosalinde DPR 2: 71313 nodes; retained interaction
PASS susi DPR 2: 71313 nodes; retained interaction
PASS hidalgo DPR 2: 71313 nodes; retained interaction
PASS zachia DPR 2: 71313 nodes; retained interaction
PASS piazzia DPR 2: 71313 nodes; retained interaction
PASS tulipa DPR 2: 71313 nodes; retained interaction
PASS reinmuthia DPR 2: 71313 nodes; retained interaction
PASS china DPR 2: 71313 nodes; retained interaction
