Sk -71 8           76.8469162 -71.1983337 C86  O9 II                          
BI 81              76.8668365 -70.5103302 M95  Be (Fe II?)                    
Sk -71 8a          76.8782120 -71.1478043 M95  B1 Ib                          
072727             76.8854980 -70.6512756 M03  M2 I                           
Sk -71 9           76.8977890 -71.2075272 J01  B0 II                          
Sk -71 11          76.9154968 -71.0268936 J01  B0.5 I                         
Sk -69 65          77.0517883 -69.2316132 J01  B2.5 I/II                      
MACHO1.4539.37     77.1170807 -68.8072281 G05  O8.5 V + O9 V                  
BI 85              77.1641235 -68.7620850 M95  O8 V                           
Sk -71 12          77.2446213 -71.4246063 C86  B extr                         
Sk -71 13          77.3501663 -71.3503876 M95  Be (Fe II)                     
LH31-1005          77.3715820 -68.8668594 M00  O5 V((f))                      
Sk -71 14          77.4121246 -71.4006119 F88  A0 Ia                          
BAT99-19           77.4184189 -68.8902206 F03  WN4b+O5:  SB EB                Sk -68 57
Sk -68 58          77.4382935 -68.7694168 F88  B3 Iab                         
Sk -67 51          77.4472504 -67.8994141 C86  O6.5 III                       
LH31-1012          77.4639587 -68.9065018 M00  O8 V                           
Sk -68 59          77.4710846 -68.9271927 F88  B0.7 Ia+                       
BAT99-20           77.4744000 -68.8810000 B01  WC4+Oh                         
LH31-1010          77.4887466 -68.9035034 M00  O8 V                           
Sk -69 68          77.4950409 -69.1171722 J01  B1 II                          
LH31-1002          77.4960861 -68.9173050 M00  F2 I                           
LH31-1008          77.5012894 -68.8961334 M00  B0 V                           
Sk -67 52          77.5271225 -67.2366943 M95  B0 I                           
LH31-1003          77.5493317 -68.9013367 M00  O6 Ib(f)                       
BI 94              77.6017532 -69.1142502 M95  O7 V((f))                      
BI 92              77.6729202 -66.7561646 M95  B3 V                           
Sk -67 54          77.7157516 -67.1739960 J01  B1.5 I:                        
MACHO79.5017.83    77.7616653 -69.2191696 G05  B2 V+ B2 V                     
Sk -67 57          77.9670029 -67.1660309 J01  B2 III                         
BI 97              78.0697098 -67.4341660 C86  O9 V                           
Sk -67 58          78.0711670 -67.3239746 F88  B3 Ia                          
Sk -65 38          78.0882492 -65.4262466 M95  B1.5 III                       
BI 98              78.1266632 -67.4539948 M95  B1: V                          
BI 99              78.1417923 -68.7169724 C86  B extr                         
[SP77]37-24        78.1932068 -67.3271942 M03  M2 Ia HV2360                   
Sk -65 39          78.2294159 -65.0965271 C86  B2 II                          
BI 101             78.2504578 -69.3934708 C86  O9 II                          
BI 103             78.2847519 -69.3011398 M95  B2 Ia                          
BI 104             78.2980423 -69.3763657 M95  O7: V                          
BI 105             78.2994995 -69.3723907 M95  B0.5 V                         
LH39-5             78.3487473 -69.5251694 M00  B1 V                           
LH39-3             78.3660431 -69.5199738 M00  B1 III                         
Sk -69 75          78.3782501 -69.5399170 M00  B8 I                           
Sk -70 83          78.3794556 -70.2996368 C86  B extr                         
Sk -69 76          78.4080429 -69.3002777 J01  O6.5 II(f)                     
R82                78.4121704 -69.3522491 Z06  B0.5[e]                        
BAT99-21           78.4323730 -67.3748322 F03  WN4o(+OB)                      Sk -67 63
LH39-9             78.4496231 -69.5392761 M00  B1 III                         
LH39-13            78.4650803 -69.5240860 M00  B1 III                         
S22                78.4707947 -67.4485855 Z06  B0.5[e]                        
BAT99-22           78.4761276 -69.5296402 S08  WN9h                           Sk -69 79
LH39-1006          78.4761276 -69.5328064 M00  B1 III (inconsistent w/ UBV)   
BAT99-23           78.4821000 -67.4102000 F03  WN3(h)                         
LH39-16            78.4970856 -69.5297012 M00  B0.5 III                       
Sk -67 66          78.5079193 -67.3309708 F88  B5 Ia                          
