wavelength_um,counts
9.188500404357910156e+00,4.242561718750000000e+04
9.214151382446289062e+00,4.260982812500000000e+04
9.239702224731445312e+00,4.194428906250000000e+04
9.265152931213378906e+00,4.169550781250000000e+04
9.290504455566406250e+00,4.083271484375000000e+04
9.315757751464843750e+00,4.050170312500000000e+04
9.340912818908691406e+00,3.953403125000000000e+04
9.365971565246582031e+00,3.890805468750000000e+04
9.390933990478515625e+00,3.784775000000000000e+04
9.415800094604492188e+00,3.764455468750000000e+04
9.440571784973144531e+00,3.743626171875000000e+04
9.465249061584472656e+00,3.710117968750000000e+04
9.489831924438476562e+00,3.714050000000000000e+04
9.514323234558105469e+00,3.709165625000000000e+04
9.538721084594726562e+00,3.664401562500000000e+04
9.563027381896972656e+00,3.655284375000000000e+04
9.587243080139160156e+00,3.597186718750000000e+04
9.611368179321289062e+00,3.557881250000000000e+04
9.635403633117675781e+00,3.481607812500000000e+04
9.659349441528320312e+00,3.421005468750000000e+04
9.683208465576171875e+00,3.322669921875000000e+04
9.706978797912597656e+00,3.275606640625000000e+04
9.730662345886230469e+00,3.212023046875000000e+04
9.754260063171386719e+00,3.198425390625000000e+04
9.777770996093750000e+00,3.151570117187500000e+04
9.801198005676269531e+00,3.143297851562500000e+04
9.824541091918945312e+00,3.097474609375000000e+04
9.847799301147460938e+00,3.099844140625000000e+04
9.870975494384765625e+00,3.058021289062500000e+04
9.894069671630859375e+00,3.051880468750000000e+04
9.917081832885742188e+00,2.999717773437500000e+04
9.940012931823730469e+00,2.983352539062500000e+04
9.962863922119140625e+00,2.913085546875000000e+04
9.985635757446289062e+00,2.856028320312500000e+04
1.000832748413085938e+01,2.762398437500000000e+04
1.003094196319580078e+01,2.711966796875000000e+04
1.005347919464111328e+01,2.623811914062500000e+04
1.007593917846679688e+01,2.579679296875000000e+04
1.009832286834716797e+01,2.518683984375000000e+04
1.012063121795654297e+01,2.497400390625000000e+04
1.014286422729492188e+01,2.449932226562500000e+04
1.016502380371093750e+01,2.431505859375000000e+04
1.018710899353027344e+01,2.407610937500000000e+04
1.020912170410156250e+01,2.370757421875000000e+04
1.023106193542480469e+01,2.330773828125000000e+04
1.025293159484863281e+01,2.308275781250000000e+04
1.027472972869873047e+01,2.267254882812500000e+04
1.029645824432373047e+01,2.236639843750000000e+04
1.031811618804931641e+01,2.171958984375000000e+04
1.033970642089843750e+01,2.143203710937500000e+04
1.036122798919677734e+01,2.072310937500000000e+04
1.038268184661865234e+01,2.028099218750000000e+04
1.040406990051269531e+01,1.973383203125000000e+04
1.042539119720458984e+01,1.930457421875000000e+04
1.044664669036865234e+01,1.871510937500000000e+04
1.046783733367919922e+01,1.843716406250000000e+04
