planet,transit,bjd_tdb_minus_2450000,agol2021_bjd_tdb_minus_2450000,difference_days,uncertainty_days
1.0,2709.0,11350.501562695657,11350.511951473043,-0.010496697359485552,0.000522396779889668
1.0,2710.0,11352.012373179248,11352.022825200418,-0.010557757331753237,0.0005235950315219704
1.0,2711.0,11353.523737560081,11353.533698927793,-0.010071514692754135,0.0005143961262717481
1.0,2712.0,11355.034481041257,11355.04457265517,-0.010208275828517799,0.0005198533945940634
1.0,2713.0,11356.54515586568,11356.555446382545,-0.010412143436951737,0.0005272474148266846
1.0,2714.0,11358.056233901705,11358.06632010992,-0.01020193714157358,0.0005223022291317837
1.0,2715.0,11359.5670680113,11359.577193837296,-0.010237736691124155,0.000521017398163483
1.0,2716.0,11361.077708854778,11361.088067564671,-0.010467242189406534,0.0005229694631929874
1.0,2717.0,11362.588301601694,11362.598941292046,-0.010748682483608718,0.0005291838953380075
1.0,2718.0,11364.099108681005,11364.109815019423,-0.010814167814714892,0.0005310011356257768
1.0,2719.0,11365.610511867877,11365.620688746796,-0.010290245293617772,0.0005220649184974321
1.0,2720.0,11367.121266931412,11367.131562474173,-0.01041489626186376,0.0005270392202875355
1.0,2721.0,11368.631934059602,11368.64243620155,-0.010626255555507669,0.0005344391728150992
1.0,2722.0,11370.142945522704,11370.153309928923,-0.010481721637916053,0.0005303982078833895
1.0,2723.0,11371.653774805356,11371.6641836563,-0.010521821129259479,0.0005289097341300576
1.0,2724.0,11373.164446218905,11373.175057383674,-0.010720175620917871,0.0005296922448514197
1.0,2725.0,11374.675047582634,11374.68593111105,-0.010993887260156043,0.0005361067972865514
1.0,2726.0,11376.185849261594,11376.196804838426,-0.011065724431318813,0.0005385443805865788
1.0,2727.0,11377.69728607704,11377.707678565801,-0.01050919711633469,0.0005299815744764498
1.0,2728.0,11379.208052244438,11379.218552293176,-0.010621937222822453,0.0005344046051146138
1.0,2729.0,11380.718703944522,11380.729426020553,-0.010848250274648308,0.0005416860159106857
