source_row,time,x,y,energy_ev,pi,ccd_id,status
11253,255837450.64962682,3839.01416015625,3794.11767578125,5476.50341796875,376,2,0
11254,255837450.64962682,3905.803955078125,3837.578369140625,1193.5589599609375,82,2,0
11258,255837453.76751697,1674.7027587890625,4070.316162109375,760.0571899414062,53,6,0
11269,255837453.89063698,3905.587646484375,3837.66455078125,843.44287109375,58,2,0
11270,255837453.89063698,3426.88916015625,4135.46240234375,582.7872924804688,40,2,0
11288,255837457.09059718,4133.1884765625,5004.25830078125,2162.477783203125,149,3,0
11291,255837457.1316372,3275.638671875,3894.717529296875,2939.266357421875,202,2,0
11295,255837457.21371716,4660.06982421875,3221.521484375,1557.9810791015625,107,0,0
11298,255837460.24952736,1918.9183349609375,3548.3642578125,1040.529052734375,72,6,0
11308,255837460.33160737,3472.886474609375,4747.14306640625,810.6437377929688,56,3,0
11310,255837460.4137073,4909.00244140625,4533.20947265625,962.2797241210938,66,1,0
11311,255837460.4137073,5137.67333984375,4314.826171875,4785.44775390625,328,1,0
11314,255837463.53158745,2127.23486328125,5365.45556640625,6550.97021484375,449,7,0
11328,255837463.57262745,4014.79736328125,4222.21337890625,4074.52099609375,280,3,0
11331,255837463.65470746,4994.54443359375,4581.3828125,2373.201171875,163,1,0
11332,255837463.65470746,4999.1240234375,4575.82470703125,2348.349609375,161,1,0
11335,255837466.73155767,2493.93505859375,4276.357421875,5106.41748046875,350,6,0
11343,255837466.77260756,2132.7158203125,4538.22119140625,5654.10986328125,388,7,0
11354,255837466.81363767,3512.7255859375,4722.30859375,6506.8828125,446,3,0
11355,255837466.81363767,3619.4677734375,4302.943359375,5124.0029296875,351,3,0
11356,255837466.85467768,3705.35498046875,3351.88427734375,2409.482666015625,166,2,0
11361,255837466.89571768,5019.86767578125,4749.92578125,1865.7789306640625,128,1,0
11366,255837469.97257775,2064.786376953125,4354.0712890625,1862.5364990234375,128,6,0
11368,255837469.97257775,2491.68798828125,4209.77490234375,1946.248046875,134,6,0
