time,flux,error,mask,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9
60271.90884826,1.001354426,8.824976e-4,0,0,0,0,0,0,0,0,0,0
60271.90930890,1.000462791,8.826757e-4,0,0,0,0,0,0,0,0,0,0
60271.90976955,1.000524572,8.825143e-4,0,0,0,0,0,0,0,0,0,0
60271.91023020,1.001025263,8.827728e-4,0,0,0,0,0,0,0,0,0,0
60271.91069084,1.001934521,8.826786e-4,0,0,0,0,0,0,0,0,0,0
60271.91115149,1.002559433,8.825269e-4,0,0,0,0,0,0,0,0,0,0
60271.91161214,1.000310524,8.829494e-4,0,0,0,0,0,0,0,0,0,0
60271.91207279,1.000136242,8.825263e-4,0,0,0,0,0,0,0,0,0,0
60271.91253343,0.999792590,8.823415e-4,0,0,0,0,0,0,0,0,0,0
60271.91299408,0.999571351,8.822355e-4,0,0,0,0,0,0,0,0,0,0
60271.91345473,1.000455101,8.828841e-4,0,0,0,0,0,0,0,0,0,0
60271.91391537,1.001178015,8.829842e-4,0,0,0,0,0,0,0,0,0,0
60271.91437602,1.001098895,8.827626e-4,0,0,0,0,0,0,0,0,0,0
60271.91483667,1.001866274,8.828239e-4,0,0,0,0,0,0,0,0,0,0
60271.91529731,1.000601533,8.823661e-4,0,0,0,0,0,0,0,0,0,0
60271.91575796,1.001640565,8.825781e-4,0,0,0,0,0,0,0,0,0,0
60271.91621861,1.000551674,8.824964e-4,0,0,0,0,0,0,0,0,0,0
60271.91667926,1.002815575,8.829285e-4,0,0,0,0,0,0,0,0,0,0
60271.91713990,1.000618955,8.829447e-4,0,0,0,0,0,0,0,0,0,0
60271.91760055,0.998594838,8.825946e-4,0,0,0,0,0,0,0,0,0,0
60271.91806120,1.002403689,8.828322e-4,0,0,0,0,0,0,0,0,0,0
60271.91852184,1.001347629,8.827327e-4,0,0,0,0,0,0,0,0,0,0
60271.91898249,1.001265449,8.825789e-4,0,0,0,0,0,0,0,0,0,0
60271.91944314,1.001828154,8.826552e-4,0,0,0,0,0,0,0,0,0,0
60271.91990379,1.001763768,8.825001e-4,0,0,0,0,0,0,0,0,0,0
60271.92036443,1.000826238,8.828010e-4,0,0,0,0,0,0,0,0,0,0
60271.92082508,0.999867349,8.827627e-4,0,0,0,0,0,0,0,0,0,0
60271.92128573,0.999930602,8.828192e-4,0,0,0,0,0,0,0,0,0,0
60271.92174637,0.999110413,8.856432e-4,0,0,0,0,0,0,0,0,0,0
60271.92220702,1.000620191,8.827798e-4,0,0,0,0,0,0,0,0,0,0
60271.92266767,1.002127213,8.823475e-4,0,0,0,0,0,0,0,0,0,0
60271.92312831,0.999498226,8.829285e-4,0,0,0,0,0,0,0,0,0,0
60271.92358896,1.001596198,8.826778e-4,0,0,0,0,0,0,0,0,0,0
60271.92404961,1.000166225,8.829483e-4,0,0,0,0,0,0,0,0,0,0
60271.92451026,1.000765416,8.828329e-4,0,0,0,0,0,0,0,0,0,0
60271.92497090,1.002834764,8.825788e-4,0,0,0,0,0,0,0,0,0,0
60271.92543155,0.999661691,8.826718e-4,0,0,0,0,0,0,0,0,0,0
60271.92589220,0.998706736,8.829801e-4,0,0,0,0,0,0,0,0,0,0
60271.92635284,1.000944906,8.827241e-4,0,0,0,0,0,0,0,0,0,0
60271.92681349,0.999548585,8.822824e-4,0,0,0,0,0,0,0,0,0,0
60271.92727414,1.000448711,8.827347e-4,0,0,0,0,0,0,0,0,0,0
60271.92773479,1.000849442,8.843681e-4,0,0,0,0,0,0,0,0,0,0
60271.92819543,1.000740361,8.829087e-4,0,0,0,0,0,0,0,0,0,0
60271.92865608,0.999442458,8.824415e-4,0,0,0,0,0,0,0,0,0,0
60271.92911673,1.000482082,8.827949e-4,0,0,0,0,0,0,0,0,0,0
60271.92957737,0.999668434,8.829506e-4,0,0,0,0,0,0,0,0,0,0
60271.93003802,1.001397683,8.827726e-4,0,0,0,0,0,0,0,0,0,0
60271.93049867,1.000404281,8.823365e-4,0,0,0,0,0,0,0,0,0,0
60271.93095931,1.001636316,8.826961e-4,0,0,0,0,0,0,0,0,0,0
60271.93141996,1.001074838,8.828435e-4,0,0,0,0,0,0,0,0,0,0
60271.93188061,1.000972563,8.827569e-4,0,0,0,0,0,0,0,0,0,0
60271.93234126,1.001546716,8.828886e-4,0,0,0,0,0,0,0,0,0,0
