
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-comets
> node site/test/dom-cleanliness-browser.mjs http://127.0.0.1:53135

PASS ra-shalom DPR 2: 72815 nodes; retained interaction
PASS asteroid-1992-sk DPR 2: 72827 nodes; retained interaction
PASS asteroid-1998-ml14 DPR 2: 72819 nodes; retained interaction
PASS asteroid-2002-ce26 DPR 2: 72839 nodes; retained interaction
PASS dike DPR 2: 72807 nodes; retained interaction
PASS massalia DPR 2: 72807 nodes; retained interaction
PASS proserpina DPR 2: 72807 nodes; retained interaction
PASS polyhymnia DPR 2: 72807 nodes; retained interaction
PASS leukothea DPR 2: 72807 nodes; retained interaction
PASS virginia DPR 2: 72807 nodes; retained interaction
PASS echo DPR 2: 72807 nodes; retained interaction
PASS maja DPR 2: 72807 nodes; retained interaction
PASS juewa DPR 2: 72807 nodes; retained interaction
PASS bertha DPR 2: 72807 nodes; retained interaction
PASS lucia DPR 2: 72807 nodes; retained interaction
PASS brucia DPR 2: 72807 nodes; retained interaction
PASS badenia DPR 2: 72807 nodes; retained interaction
PASS ducrosa DPR 2: 72807 nodes; retained interaction
PASS gyptis DPR 2: 72807 nodes; retained interaction
PASS petrina DPR 2: 72807 nodes; retained interaction
PASS veritas DPR 2: 72807 nodes; retained interaction
PASS gryphia DPR 2: 72807 nodes; retained interaction
PASS selinur DPR 2: 72807 nodes; retained interaction
PASS achilles DPR 2: 72807 nodes; retained interaction
PASS musa DPR 2: 72807 nodes; retained interaction
PASS auravictrix DPR 2: 72807 nodes; retained interaction
PASS transvaalia DPR 2: 72807 nodes; retained interaction
PASS moskva DPR 2: 72807 nodes; retained interaction
PASS kressmannia DPR 2: 72807 nodes; retained interaction
PASS parysatis DPR 2: 72807 nodes; retained interaction
PASS rosalinde DPR 2: 72807 nodes; retained interaction
PASS susi DPR 2: 72807 nodes; retained interaction
PASS hidalgo DPR 2: 72807 nodes; retained interaction
PASS zachia DPR 2: 72807 nodes; retained interaction
PASS piazzia DPR 2: 72807 nodes; retained interaction
PASS tulipa DPR 2: 72807 nodes; retained interaction
PASS reinmuthia DPR 2: 72807 nodes; retained interaction
PASS china DPR 2: 72807 nodes; retained interaction
PASS crimea DPR 2: 72807 nodes; retained interaction
PASS rusthawelia DPR 2: 72807 nodes; retained interaction
PASS schorria DPR 2: 72807 nodes; retained interaction
PASS silvretta DPR 2: 72807 nodes; retained interaction
PASS virtanen DPR 2: 72807 nodes; retained interaction
PASS mr-spock DPR 2: 72807 nodes; retained interaction
PASS educatio DPR 2: 72807 nodes; retained interaction
PASS hopi DPR 2: 72807 nodes; retained interaction
PASS schaber DPR 2: 72807 nodes; retained interaction
PASS iau DPR 2: 72807 nodes; retained interaction
PASS united-nations DPR 2: 72807 nodes; retained interaction
PASS tartaglia DPR 2: 72807 nodes; retained interaction
PASS raup DPR 2: 72807 nodes; retained interaction
PASS asteroid-2001-qw16 DPR 2: 72807 nodes; retained interaction
PASS asteroid-1999-fr33 DPR 2: 72807 nodes; retained interaction
PASS vesta DPR 2: 72827 nodes; retained interaction
PASS phobos DPR 2: 73351 nodes; retained interaction
PASS deimos DPR 2: 73351 nodes; retained interaction
PASS ceres DPR 2: 72459 nodes; retained interaction
PASS jupiter DPR 2: 72797 nodes; retained interaction
PASS io DPR 2: 72459 nodes; retained interaction
PASS europa DPR 2: 72459 nodes; retained interaction
PASS ganymede DPR 2: 72459 nodes; retained interaction
PASS callisto DPR 2: 72459 nodes; retained interaction
PASS saturn DPR 2: 72972 nodes; retained interaction
PASS pan DPR 2: 72807 nodes; retained interaction
PASS atlas DPR 2: 72807 nodes; retained interaction
PASS prometheus DPR 2: 72727 nodes; retained interaction
PASS pandora DPR 2: 72647 nodes; retained interaction
PASS janus DPR 2: 72727 nodes; retained interaction
PASS epimetheus DPR 2: 72727 nodes; retained interaction
PASS hyperion DPR 2: 73207 nodes; retained interaction
PASS mimas DPR 2: 72763 nodes; retained interaction
PASS enceladus DPR 2: 72459 nodes; retained interaction
PASS tethys DPR 2: 72459 nodes; retained interaction
PASS dione DPR 2: 72459 nodes; retained interaction
PASS rhea DPR 2: 72459 nodes; retained interaction
PASS titan DPR 2: 72459 nodes; retained interaction
PASS iapetus DPR 2: 72459 nodes; retained interaction
PASS phoebe DPR 2: 73351 nodes; retained interaction
PASS uranus DPR 2: 73072 nodes; retained interaction
PASS miranda DPR 2: 72459 nodes; retained interaction
PASS ariel DPR 2: 72459 nodes; retained interaction
PASS umbriel DPR 2: 72459 nodes; retained interaction
PASS titania DPR 2: 72459 nodes; retained interaction
PASS oberon DPR 2: 72459 nodes; retained interaction
PASS neptune DPR 2: 72734 nodes; retained interaction
