YYYY MM DD hh mm ss.sss   BX CSE BY CSE BZ CSE BT CSE X CSE      Y CSE      Z CSE      R CSE      
                           nT     nT     nT     nT    km         km         km         km         
1986 03 09 02 16 19.000   -5.6    5.2   -4.6    8.9  -542039.1  1277302.9  -178951.0  1399047.0
1986 03 09 02 17 19.000   -5.0    5.3   -9.1   11.6  -540254.2  1273098.2  -178353.4  1394440.4
1986 03 09 02 18 19.000   -3.2    2.1   -9.2    9.9  -538469.1  1268893.6  -177755.9  1389833.5
1986 03 09 02 19 19.000    0.0    1.2   -8.7    8.8  -536683.9  1264689.1  -177158.3  1385226.8
1986 03 09 02 20 19.000   -1.4    3.0   -8.9    9.5  -534898.7  1260484.6  -176560.8  1380620.1
1986 03 09 02 21 19.000   -2.4    2.7   -9.4   10.1  -533113.2  1256280.1  -175963.1  1376013.2
1986 03 09 02 22 19.000    1.5   -2.0   -8.9    9.2  -531327.8  1252075.8  -175365.5  1371406.5
1986 03 09 02 23 19.000   -1.1    4.2   -1.9    4.7  -529542.1  1247871.4  -174767.8  1366799.8
1986 03 09 02 24 19.000   -1.8    3.4  -11.7   12.3  -527756.2  1243667.1  -174170.2  1362193.0
1986 03 09 02 25 19.000    2.9   -3.5   -5.9    7.4  -525970.3  1239462.9  -173572.6  1357586.2
1986 03 09 02 26 20.000    1.6    2.6   -7.7    8.3  -524154.4  1235188.6  -172965.0  1352902.6
1986 03 09 02 27 20.000   -8.0    6.2  -10.7   14.8  -522368.2  1230984.5  -172367.4  1348295.9
1986 03 09 02 28 20.000   -9.5    6.2   -9.5   14.8  -520581.7  1226780.5  -171769.9  1343689.1
1986 03 09 02 29 20.000    0.1    0.5   -8.4    8.4  -518795.2  1222576.6  -171172.3  1339082.5
1986 03 09 02 30 20.000   -6.7    5.6  -14.5   16.9  -517008.4  1218372.8  -170574.9  1334475.9
1986 03 09 02 31 18.000    1.0   -0.5   -9.6    9.7  -515281.0  1214309.1  -169997.4  1330022.6
1986 03 09 02 32 18.000   -2.0    0.6   -2.1    3.0  -513493.9  1210105.4  -169400.0  1325415.9
1986 03 09 02 33 18.000   -3.0    2.0   -6.6    7.5  -511706.7  1205901.8  -168802.7  1320809.2
1986 03 09 02 34 18.000   11.1   -0.8   -9.1   14.3  -509919.3  1201698.1  -168205.4  1316202.5
1986 03 09 02 35 18.000   14.1    1.5   -3.1   14.5  -508131.7  1197494.6  -167608.1  1311595.8
1986 03 09 02 36 19.000    2.1    2.2  -15.9   16.2  -506314.2  1193221.1  -167000.8  1306912.4
1986 03 09 02 37 19.000    7.3   -2.2  -11.6   13.9  -504526.3  1189017.8  -166403.6  1302305.8
1986 03 09 02 38 19.000    0.4   -0.1   -7.6    7.6  -502738.2  1184814.5  -165806.3  1297699.1
1986 03 09 02 39 19.000   -3.4   -3.4  -14.6   15.4  -500950.0  1180611.2  -165209.1  1293092.4
1986 03 09 02 40 19.000   -0.1   -0.5   -2.9    3.0  -499161.7  1176408.0  -164611.9  1288485.6
1986 03 09 02 41 19.000    6.7   -7.8   -1.0   10.3  -497373.1  1172204.9  -164014.6  1283878.9
1986 03 09 02 42 19.000   -4.6    9.9    2.6   11.3  -495584.4  1168001.8  -163417.4  1279272.1
1986 03 09 02 43 19.000   -7.3    9.2   -9.4   15.0  -493795.6  1163798.8  -162820.1  1274665.5
1986 03 09 02 44 19.000    3.3   -3.6  -14.3   15.1  -492006.6  1159595.8  -162222.9  1270058.6
1986 03 09 02 45 19.000    1.0   -4.0   -9.5   10.3  -490217.4  1155392.9  -161625.7  1265452.0
1986 03 09 02 46 20.000    6.6   -4.1  -11.1   13.5  -488398.2  1151119.9  -161018.5  1260768.4
1986 03 09 02 47 20.000    1.0   -7.2   -7.5   10.5  -486608.8  1146917.1  -160421.4  1256161.6
1986 03 09 02 48 20.000    3.2   -1.4   -5.8    6.8  -484819.1  1142714.4  -159824.2  1251554.9
1986 03 09 02 49 20.000   10.3   -2.0  -11.8   15.8  -483029.3  1138511.8  -159227.1  1246948.1
1986 03 09 02 50 20.000    2.6   -0.2  -17.0   17.2  -481239.3  1134309.1  -158630.0  1242341.2
1986 03 09 03 08 30.000   15.0   -7.9  -11.2   20.3  -448694.4  1057973.0  -147786.0  1158651.9
1986 03 09 03 09 30.000   15.6   -5.5  -10.8   19.8  -446901.5  1053771.6  -147189.3  1154045.2
1986 03 09 03 10 30.000   16.2   -6.2   -7.1   18.8  -445108.4  1049570.4  -146592.7  1149438.5
1986 03 09 03 31 18.000   19.5    3.1  -11.2   22.7  -407776.9   962197.9  -134186.8  1053619.0
1986 03 09 03 32 18.000   16.6    0.1   -8.6   18.7  -405980.5   957997.9  -133590.6  1049012.2
1986 03 09 03 33 18.000   16.1   -1.7   -6.3   17.4  -404183.9   953797.9  -132994.3  1044405.4
1986 03 09 03 34 18.000   14.8   -1.3   -9.6   17.7  -402387.2   949598.1  -132398.1  1039798.6
1986 03 09 03 35 18.000   13.1   -2.4  -10.3   16.8  -400590.4   945398.2  -131801.9  1035191.9
1986 03 09 03 36 19.000   16.0   -1.2   -9.8   18.8  -398763.4   941128.5  -131195.8  1030508.3
1986 03 09 03 37 19.000   15.4   -0.1  -14.0   20.8  -396966.2   936928.8  -130599.6  1025901.6
1986 03 09 03 38 19.000   16.0    2.0  -14.6   21.7  -395168.9   932729.2  -130003.5  1021294.8
1986 03 09 03 39 19.000   16.0    1.1  -13.7   21.1  -393371.4   928529.6  -129407.3  1016688.1
1986 03 09 03 40 19.000   15.8    0.0  -14.4   21.4  -391573.7   924330.2  -128811.2  1012081.3
1986 03 09 03 41 19.000   17.4   -1.1  -12.3   21.3  -389775.7   920130.9  -128215.1  1007474.7
1986 03 09 03 42 19.000   15.2   -2.9  -14.4   21.1  -387977.5   915931.7  -127619.1  1002867.9
1986 03 09 03 43 19.000   15.9   -2.4  -13.1   20.7  -386179.2   911732.6  -127023.0   998261.2
1986 03 09 03 44 19.000   15.3   -2.6  -13.3   20.5  -384380.8   907533.5  -126427.0   993654.6
1986 03 09 03 45 19.000   14.0   -1.3  -12.2   18.6  -382582.3   903334.5  -125831.0   989048.0
1986 03 09 03 46 20.000   12.8   -2.2  -11.8   17.6  -380753.7   899065.6  -125225.1   984364.6
1986 03 09 03 47 20.000   14.1   -0.7  -11.4   18.2  -378954.9   894866.8  -124629.1   979758.0
1986 03 09 03 48 20.000   13.8   -1.0  -10.3   17.2  -377156.2   890667.9  -124033.2   975151.4
1986 03 09 03 49 20.000   12.2   -1.1  -16.3   20.4  -375357.3   886469.1  -123437.3   970544.9
1986 03 09 03 50 20.000   12.2   -0.6  -14.5   19.0  -373558.6   882270.4  -122841.4   965938.4
1986 03 09 04 12 30.000   19.4   -3.7   -8.3   21.4  -333639.8   789216.3  -109646.0   863828.8
1986 03 09 04 13 30.000   19.4   -5.0   -9.1   22.0  -331839.3   785019.8  -109054.7   859224.3
1986 03 09 04 14 30.000   17.9   -5.5   -7.4   20.1  -330038.6   780823.3  -108463.2   854619.8
1986 03 09 04 15 30.000   17.5   -3.8   -5.1   18.6  -328237.7   776626.9  -107871.6   850015.1
1986 03 09 04 16 30.000   17.1   -6.3   -7.3   19.6  -326436.4   772430.4  -107279.6   845410.1
1986 03 09 04 17 30.000   17.0   -8.5   -8.6   20.8  -324634.8   768233.9  -106687.3   840805.1
1986 03 09 04 18 30.000   17.4   -6.7   -8.5   20.5  -322832.7   764037.4  -106094.4   836199.8
1986 03 09 04 19 30.000   19.1   -4.2   -7.6   21.0  -321029.9   759840.8  -105500.8   831594.1
1986 03 09 04 20 30.000   19.0   -3.9   -7.5   20.7  -319226.3   755644.1  -104906.1   826987.8
1986 03 09 04 21 30.000   16.8   -3.5   -7.3   18.6  -317422.2   751447.4  -104310.8   822381.1
1986 03 09 04 22 30.000   16.1   -5.1   -8.3   18.8  -315617.8   747250.7  -103715.4   817774.4
1986 03 09 04 23 30.000   15.0   -2.9   -8.4   17.4  -313813.3   743054.1  -103120.1   813167.8
1986 03 09 04 24 30.000   15.2   -1.4   -6.5   16.6  -312008.7   738857.6  -102524.9   808561.2
1986 03 09 04 25 30.000   15.5   -1.7   -7.1   17.1  -310203.9   734661.1  -101929.6   803954.6
1986 03 09 04 26 30.000   17.3   -1.0   -7.5   18.9  -308399.0   730464.6  -101334.4   799348.0
1986 03 09 04 27 30.000   16.8   -2.6   -7.8   18.7  -306593.9   726268.2  -100739.2   794741.4
1986 03 09 04 28 30.000   17.9   -1.3   -6.8   19.2  -304788.7   722072.0  -100144.0   790134.8
1986 03 09 04 29 30.000   16.3   -3.3   -9.5   19.1  -302983.2   717875.8   -99548.8   785528.1
1986 03 09 04 30 30.000   16.0   -3.1   -8.6   18.5  -301177.7   713679.6   -98953.6   780921.5
1986 03 09 04 31 30.000   17.5   -0.3   -6.7   18.8  -299372.0   709483.5   -98358.5   776314.9
1986 03 09 04 32 30.000   16.5   -1.0   -7.0   18.0  -297566.2   705287.5   -97763.3   771708.3
1986 03 09 04 33 30.000   17.7   -0.5   -7.6   19.2  -295760.2   701091.5   -97168.2   767101.7
1986 03 09 04 34 30.000   18.6   -0.1   -5.7   19.5  -293954.0   696895.6   -96573.2   762495.1
1986 03 09 04 35 30.000   18.8   -0.3   -7.2   20.2  -292147.7   692699.7   -95978.1   757888.5
1986 03 09 04 36 30.000   19.0    2.3   -6.1   20.1  -290341.2   688503.9   -95383.1   753281.9
1986 03 09 04 37 30.000   18.1    0.9   -5.2   18.8  -288534.6   684308.2   -94788.1   748675.2
1986 03 09 04 38 30.000   18.1    1.7   -6.2   19.2  -286727.8   680112.6   -94193.1   744068.7
1986 03 09 04 39 30.000   17.0    0.6   -7.7   18.7  -284920.8   675917.1   -93598.1   739462.2
1986 03 09 04 40 30.000   16.4   -0.7   -8.3   18.4  -283113.8   671721.6   -93003.1   734855.7
1986 03 09 04 41 30.000   16.7   -2.2  -11.6   20.5  -281306.5   667526.1   -92408.2   730249.1
1986 03 09 04 42 30.000   17.8   -1.2   -7.8   19.5  -279499.1   663330.6   -91813.3   725642.4
1986 03 09 04 43 30.000   16.9   -0.2   -4.2   17.4  -277691.5   659135.3   -91218.3   721035.9
1986 03 09 04 44 30.000   18.4   -1.3   -5.2   19.2  -275883.8   654940.1   -90623.4   716429.3
1986 03 09 04 45 30.000   17.8   -0.3   -5.6   18.6  -274076.0   650744.9   -90028.5   711822.8
1986 03 09 04 46 30.000   18.2   -2.1   -5.3   19.0  -272268.0   646549.8   -89433.7   707216.2
1986 03 09 04 47 30.000   18.9    1.4   -6.0   19.9  -270459.8   642354.7   -88838.9   702609.7
1986 03 09 04 48 30.000   20.2    0.6   -7.1   21.5  -268651.4   638159.7   -88244.1   698003.1
1986 03 09 04 49 30.000   19.2    1.0   -5.2   19.9  -266842.9   633964.8   -87649.3   693396.6
1986 03 09 04 50 30.000   21.7   -0.9   -6.2   22.6  -265034.2   629769.9   -87054.5   688790.1
1986 03 09 04 51 30.000   19.8   -2.1  -10.3   22.4  -263225.5   625575.1   -86459.8   684183.5
1986 03 09 04 52 30.000   17.1    0.5   -5.9   18.1  -261416.5   621380.3   -85865.0   679577.0
1986 03 09 04 53 30.000    7.6   10.1   -5.9   14.0  -259607.4   617185.6   -85270.3   674970.5
1986 03 09 04 54 30.000    5.4   10.7   -5.4   13.2  -257798.2   612991.0   -84675.6   670363.9
1986 03 09 04 55 30.000    7.0    8.2   -5.4   12.0  -255988.8   608796.4   -84080.9   665757.4
1986 03 09 04 56 30.000   11.1    5.5   -3.2   12.8  -254179.2   604601.9   -83486.3   661150.9
1986 03 09 04 57 30.000   11.1    4.9   -4.5   12.9  -252369.4   600407.5   -82891.6   656544.4
1986 03 09 04 58 30.000   11.7    5.4   -5.3   13.9  -250559.6   596213.1   -82297.0   651937.8
1986 03 09 04 59 30.000   14.5    1.2   -6.7   16.1  -248749.6   592018.8   -81702.4   647331.4
1986 03 09 05 00 30.000   17.0   -1.1   -4.0   17.5  -246939.4   587824.6   -81107.8   642724.9
1986 03 09 05 01 30.000   19.0   -1.5   -4.1   19.5  -245129.0   583630.4   -80513.3   638118.4
1986 03 09 05 02 30.000   17.9   -2.1   -4.6   18.6  -243318.5   579436.3   -79918.7   633511.9
1986 03 09 05 03 30.000   17.1    1.4   -5.1   17.9  -241507.9   575242.3   -79324.2   628905.5
1986 03 09 05 04 30.000   13.8    3.9   -3.4   14.7  -239697.1   571048.3   -78729.6   624299.0
1986 03 09 05 05 30.000   11.2    7.5   -4.2   14.1  -237886.1   566854.4   -78135.1   619692.6
1986 03 09 05 06 30.000   12.3    7.1   -5.8   15.3  -236074.9   562660.6   -77540.7   615086.1
1986 03 09 05 07 30.000   10.9    7.4   -5.6   14.4  -234263.7   558466.8   -76946.2   610479.6
1986 03 09 05 08 30.000    8.6    6.4   -5.8   12.2  -232452.3   554273.1   -76351.8   605873.1
1986 03 09 05 09 30.000    9.5    7.3   -6.8   13.8  -230640.7   550079.4   -75757.4   601266.8
1986 03 09 05 10 30.000    7.9    6.0   -3.3   10.5  -228828.9   545885.8   -75163.0   596660.2
1986 03 09 05 11 30.000   10.5    3.7   -6.2   12.7  -227017.0   541692.2   -74568.6   592053.8
1986 03 09 05 12 30.000   12.7    4.2   -6.8   15.0  -225205.0   537498.8   -73974.2   587447.3
1986 03 09 05 13 30.000    9.8    3.9   -7.5   12.9  -223392.8   533305.4   -73379.9   582840.9
1986 03 09 05 14 30.000   11.7    4.2   -6.7   14.1  -221580.4   529112.1   -72785.6   578234.6
1986 03 09 05 15 30.000    9.5    7.1   -5.3   13.0  -219767.9   524918.8   -72191.4   573628.2
1986 03 09 05 16 30.000    7.7    9.2   -5.5   13.2  -217955.2   520725.6   -71597.0   569021.8
1986 03 09 05 17 30.000    5.6    8.7   -6.8   12.4  -216142.5   516532.5   -71002.7   564415.4
1986 03 09 05 18 30.000    7.1    7.6   -4.8   11.5  -214329.5   512339.3   -70408.5   559808.9
1986 03 09 05 19 30.000    6.0    8.5   -6.9   12.5  -212516.3   508146.3   -69814.3   555202.6
1986 03 09 05 20 30.000    7.4    9.1   -6.0   13.1  -210703.1   503953.3   -69220.1   550596.2
1986 03 09 05 21 30.000    6.6    6.5   -5.5   10.8  -208889.7   499760.5   -68625.9   545989.9
1986 03 09 05 22 30.000    8.0    8.4   -7.1   13.6  -207076.1   495567.7   -68031.7   541383.6
1986 03 09 05 23 30.000    9.6    5.6   -5.9   12.6  -205262.3   491374.9   -67437.6   536777.2
1986 03 09 05 24 30.000    9.8    8.8   -6.7   14.8  -203448.4   487182.2   -66843.4   532170.9
1986 03 09 05 25 30.000   11.3   10.2   -5.8   16.3  -201634.4   482989.6   -66249.3   527564.6
1986 03 09 05 26 30.000    9.5   11.8   -5.2   16.0  -199820.2   478797.0   -65655.3   522958.2
1986 03 09 05 27 30.000    7.8    9.5   -5.5   13.5  -198005.8   474604.5   -65061.2   518351.9
1986 03 09 05 28 30.000    9.7    7.3   -6.0   13.5  -196191.2   470412.1   -64467.2   513745.6
1986 03 09 05 29 30.000    9.1    5.3   -6.3   12.3  -194376.6   466219.7   -63873.1   509139.3
1986 03 09 05 30 30.000    8.8    4.7   -6.3   11.8  -192561.8   462027.4   -63279.1   504533.0
1986 03 09 05 31 30.000    9.3    5.4   -8.8   13.9  -190746.8   457835.2   -62685.1   499926.8
1986 03 09 05 32 30.000    9.7    3.2   -7.1   12.4  -188931.6   453643.0   -62091.1   495320.5
1986 03 09 05 33 30.000    9.6    4.9   -6.0   12.3  -187116.3   449450.9   -61497.2   490714.3
1986 03 09 05 34 30.000   10.7    1.2   -6.8   12.7  -185300.9   445258.8   -60903.2   486108.0
1986 03 09 05 35 30.000   15.9    4.8   -6.2   17.7  -183485.3   441066.8   -60309.3   481501.8
1986 03 09 05 36 30.000   11.8    2.8   -8.2   14.6  -181669.5   436874.8   -59715.4   476895.6
1986 03 09 05 37 30.000   10.5    4.3   -7.2   13.4  -179853.6   432683.0   -59121.5   472289.4
1986 03 09 05 38 30.000    9.7    4.1   -6.9   12.6  -178037.6   428491.2   -58527.7   467683.2
1986 03 09 05 39 30.000   11.2    2.7   -6.7   13.3  -176221.4   424299.5   -57933.9   463077.1
1986 03 09 05 40 30.000   14.8    1.6   -6.4   16.2  -174405.0   420107.9   -57340.1   458470.9
1986 03 09 05 41 30.000   12.4    1.9   -5.6   13.7  -172588.4   415916.3   -56746.3   453864.8
1986 03 09 05 42 30.000    9.6    2.8   -5.3   11.3  -170771.8   411724.7   -56152.5   449258.7
1986 03 09 05 43 30.000   11.8    2.9   -6.2   13.7  -168955.0   407533.2   -55558.7   444652.5
1986 03 09 05 44 30.000   11.0    3.2   -6.8   13.4  -167138.0   403341.8   -54964.9   440046.4
1986 03 09 05 45 30.000   11.1    1.7   -8.2   13.9  -165320.8   399150.5   -54371.2   435440.4
1986 03 09 05 46 30.000   10.5    1.0   -9.0   13.9  -163503.5   394959.2   -53777.5   430834.3
1986 03 09 05 47 30.000   11.5    1.5   -9.3   14.9  -161686.1   390768.0   -53183.8   426228.3
1986 03 09 05 48 30.000   11.1    1.5   -9.2   14.5  -159868.5   386576.8   -52590.2   421622.2
1986 03 09 05 49 30.000   13.5    0.6   -7.5   15.4  -158050.7   382385.7   -51996.5   417016.2
1986 03 09 05 50 30.000   15.1    2.7  -13.8   20.6  -156232.8   378194.7   -51402.9   412410.2
1986 03 09 05 51 30.000   11.9    2.0  -13.4   18.0  -154414.7   374003.8   -50809.3   407804.2
1986 03 09 05 52 30.000   13.7    3.6  -15.8   21.2  -152596.5   369812.9   -50215.7   403198.3
1986 03 09 05 53 30.000   13.7    2.1  -18.3   23.0  -150778.1   365622.0   -49622.2   398592.3
1986 03 09 05 54 30.000   13.6    3.1  -16.9   21.9  -148959.6   361431.2   -49028.6   393986.4
1986 03 09 05 55 30.000   14.6    1.8  -15.5   21.4  -147140.9   357240.5   -48435.1   389380.5
1986 03 09 05 56 30.000   14.9    1.5  -17.4   22.9  -145322.1   353049.9   -47841.5   384774.7
1986 03 09 05 57 30.000   16.9    2.5  -15.0   22.7  -143503.1   348859.3   -47248.0   380168.8
1986 03 09 05 58 30.000   15.5    0.5  -12.3   19.8  -141683.9   344668.8   -46654.6   375563.0
1986 03 09 05 59 30.000   17.3   -5.8   -8.7   20.2  -139864.6   340478.4   -46061.1   370957.2
1986 03 09 06 00 30.000   17.7   -6.2   -8.6   20.6  -138045.2   336288.0   -45467.7   366351.5
1986 03 09 06 01 30.000   17.4   -3.4   -9.0   19.8  -136225.6   332097.7   -44874.3   361745.8
1986 03 09 06 02 30.000   18.7   -0.9  -15.8   24.4  -134405.8   327907.5   -44280.9   357140.1
1986 03 09 06 03 30.000   20.6   -1.7  -15.6   25.9  -132585.8   323717.2   -43687.5   352534.3
1986 03 09 06 04 30.000   21.2   -3.0  -13.8   25.5  -130765.7   319527.1   -43094.1   347928.7
1986 03 09 06 05 30.000   22.9   -3.9  -13.6   26.9  -128945.5   315337.1   -42500.8   343323.1
1986 03 09 06 06 30.000   22.1   -6.4  -11.2   25.6  -127125.1   311147.1   -41907.4   338717.5
1986 03 09 06 07 30.000   23.7   -9.1  -11.7   27.9  -125304.6   306957.1   -41314.1   334111.9
1986 03 09 06 08 30.000   24.9   -9.7   -9.0   28.2  -123483.9   302767.2   -40720.9   329506.4
1986 03 09 06 09 30.000   25.3   -9.2   -9.9   28.7  -121663.1   298577.5   -40127.6   324901.0
1986 03 09 06 10 30.000   25.2   -9.4   -9.7   28.6  -119842.1   294387.8   -39534.4   320295.6
1986 03 09 06 11 30.000   24.4   -8.4  -12.4   28.7  -118020.9   290198.1   -38941.2   315690.2
1986 03 09 06 12 30.000   24.4   -8.4  -10.4   27.8  -116199.6   286008.5   -38348.0   311084.8
1986 03 09 06 13 30.000   23.9   -8.3  -12.2   28.1  -114378.1   281818.9   -37754.8   306479.5
1986 03 09 06 14 30.000   23.6   -8.1  -12.0   27.7  -112556.5   277629.5   -37161.6   301874.2
1986 03 09 06 15 30.000   23.0   -6.9  -13.0   27.3  -110734.7   273440.1   -36568.5   297269.1
1986 03 09 06 16 30.000   24.6   -7.9  -13.1   29.0  -108912.8   269250.8   -35975.3   292664.0
1986 03 09 06 17 30.000   24.1   -7.5  -14.2   28.9  -107090.7   265061.4   -35382.2   288058.8
1986 03 09 06 18 30.000   24.0   -7.4  -16.2   29.8  -105268.5   260872.2   -34789.1   283453.8
1986 03 09 06 19 30.000   24.1   -8.9  -14.5   29.5  -103446.1   256683.1   -34196.0   278848.8
1986 03 09 06 20 30.000   22.9   -9.0  -15.2   28.9  -101623.6   252494.0   -33603.0   274243.9
1986 03 09 06 21 30.000   25.3   -9.7  -14.3   30.7   -99800.9   248304.9   -33010.0   269639.0
1986 03 09 06 22 30.000   27.2  -11.9  -13.8   32.7   -97978.0   244115.9   -32417.0   265034.2
1986 03 09 06 23 30.000   28.9  -12.7  -12.2   33.9   -96155.0   239927.0   -31824.0   260429.5
1986 03 09 06 24 30.000   27.6  -13.3  -13.4   33.4   -94331.8   235738.2   -31231.0   255824.9
1986 03 09 06 25 30.000   26.6  -12.4  -11.2   31.4   -92508.5   231549.5   -30638.1   251220.3
1986 03 09 06 26 30.000   27.1  -13.0  -13.5   32.9   -90685.1   227360.8   -30045.1   246615.9
1986 03 09 06 27 30.000   28.1  -13.6  -10.5   33.0   -88861.5   223172.1   -29452.2   242011.5
1986 03 09 06 28 30.000   28.8  -13.3  -10.0   33.3   -87037.7   218983.5   -28859.3   237407.2
1986 03 09 06 29 30.000   29.5  -15.1  -12.0   35.2   -85213.7   214795.0   -28266.4   232803.1
1986 03 09 06 30 30.000   30.5  -14.5  -11.3   35.7   -83389.6   210606.6   -27673.6   228199.0
1986 03 09 06 31 30.000   30.1  -15.0  -11.5   35.5   -81565.4   206418.2   -27080.7   223595.0
1986 03 09 06 32 30.000   30.7  -15.6  -11.0   36.2   -79741.0   202229.8   -26487.9   218991.2
1986 03 09 06 33 30.000   30.6  -16.5  -11.3   36.6   -77916.4   198041.6   -25895.1   214387.5
1986 03 09 06 34 30.000   31.2  -16.6  -10.4   36.9   -76091.7   193853.4   -25302.3   209784.0
1986 03 09 06 35 30.000   30.6  -16.8  -10.3   36.4   -74266.9   189665.3   -24709.6   205180.6
1986 03 09 06 36 30.000   29.4  -16.7   -9.0   35.0   -72441.9   185477.3   -24116.8   200577.3
1986 03 09 06 37 30.000   29.7  -17.8   -9.4   35.9   -70616.7   181289.3   -23524.1   195974.3
1986 03 09 06 38 30.000   29.9  -17.8   -7.3   35.5   -68791.4   177101.3   -22931.3   191371.3
1986 03 09 06 39 30.000   32.0  -17.4  -10.5   37.9   -66966.0   172913.4   -22338.6   186768.6
1986 03 09 06 40 30.000   31.3  -17.6  -11.5   37.7   -65140.4   168725.6   -21746.0   182166.1
1986 03 09 06 41 30.000   29.8  -15.6  -12.4   35.8   -63314.6   164537.9   -21153.3   177563.9
1986 03 09 06 42 30.000   29.8  -16.1  -11.5   35.8   -61488.6   160350.2   -20560.7   172961.8
1986 03 09 06 43 30.000   29.8  -15.0  -13.6   36.0   -59662.5   156162.6   -19968.1   168360.0
1986 03 09 06 44 30.000   29.9  -12.2  -16.0   36.1   -57836.3   151975.0   -19375.5   163758.5
1986 03 09 06 45 30.000   28.7  -12.2  -15.2   34.7   -56009.9   147787.6   -18783.0   159157.4
1986 03 09 06 46 30.000   27.5  -13.3  -14.8   34.0   -54183.3   143600.2   -18190.4   154556.6
1986 03 09 06 47 30.000   28.7  -13.7  -15.9   35.6   -52356.6   139412.9   -17597.9   149956.1
1986 03 09 06 48 30.000   29.7  -13.6  -16.4   36.5   -50529.8   135225.6   -17005.3   145356.1
1986 03 09 06 49 30.000   29.7  -13.9  -14.9   36.0   -48702.8   131038.3   -16412.8   140756.4
1986 03 09 06 50 30.000   29.9  -15.0  -16.4   37.2   -46875.6   126851.1   -15820.4   136157.3
1986 03 09 06 51 30.000   29.5  -15.6  -17.7   37.8   -45048.3   122664.0   -15227.9   131558.8
1986 03 09 06 52 30.000   30.6  -12.9  -16.5   37.1   -43220.8   118477.0   -14635.5   126960.8
1986 03 09 06 53 30.000   30.8  -15.5  -14.5   37.5   -41393.2   114290.1   -14043.1   122363.5
1986 03 09 06 54 30.000   29.7  -15.1  -16.0   37.0   -39565.4   110103.2   -13450.7   117766.9
1986 03 09 06 55 30.000   31.2  -15.5  -15.1   38.0   -37737.4   105916.3   -12858.3   113171.2
1986 03 09 06 56 30.000   32.2  -15.0  -14.8   38.5   -35909.4   101729.5   -12265.9   108576.4
1986 03 09 06 57 30.000   32.6  -15.1  -15.6   39.1   -34081.2    97542.8   -11673.6   103982.7
1986 03 09 06 58 30.000   33.6  -16.8  -14.7   40.4   -32252.8    93356.2   -11081.4    99390.2
1986 03 09 06 59 30.000   33.2  -16.3  -14.4   39.7   -30424.2    89169.6   -10489.1    94799.2
1986 03 09 07 00 30.000   36.1  -18.2  -11.7   42.1   -28595.5    84983.2    -9896.7    90209.7
1986 03 09 07 01 30.000   36.1  -16.9  -11.4   41.4   -26766.6    80796.7    -9304.4    85622.0
1986 03 09 07 02 30.000   35.6  -17.0  -11.5   41.0   -24937.6    76610.3    -8712.2    81036.6
1986 03 09 07 03 30.000   37.3  -16.8  -12.5   42.8   -23108.4    72423.9    -8120.0    76453.7
1986 03 09 07 04 30.000   40.5  -18.6  -11.7   46.1   -21279.1    68237.7    -7527.8    71873.8
1986 03 09 07 05 30.000   40.0  -18.9  -11.4   45.7   -19449.7    64051.5    -6935.6    67297.7
1986 03 09 07 06 30.000   41.1  -18.8  -13.0   47.0   -17620.1    59865.3    -6343.4    62726.1
1986 03 09 07 07 30.000   41.3  -17.5  -13.1   46.7   -15790.3    55679.3    -5751.3    58160.1
1986 03 09 07 08 30.000   45.2  -19.7  -14.6   51.4   -13960.3    51493.3    -5159.1    53601.0
1986 03 09 07 09 30.000   42.8  -16.9  -22.2   51.1   -12130.2    47307.4    -4567.0    49050.9
1986 03 09 07 10 30.000   42.7  -16.9  -25.8   52.6   -10300.0    43121.6    -3975.0    44512.4
1986 03 09 07 11 30.000   30.4  -12.2  -18.1   37.4    -8469.6    38935.7    -3382.9    39989.6
1986 03 09 07 12 30.000   44.4  -19.7  -12.2   50.1    -6639.0    34749.9    -2790.9    35488.4
1986 03 09 07 13 30.000   43.6  -16.3   -3.4   46.7    -4808.3    30564.3    -2198.8    31018.2
1986 03 09 07 14 30.000   52.3  -22.0   -5.4   57.0    -2977.5    26378.7    -1606.8    26594.8
1986 03 09 07 15 30.000   55.5  -25.6   -4.5   61.3    -1146.5    22193.2    -1014.9    22245.9
1986 03 09 07 16 30.000   61.2  -31.1  -13.2   69.9      684.7    18007.7     -422.9    18025.7
1986 03 09 07 17 30.000   63.8  -38.9  -12.1   75.7     2516.0    13822.3      169.0    14050.4
